"notation","title","description","id","title_en","description_en"
"L ","Die mathematischen Leitideen","""""Die Bewältigung mathematischer Problemsituationen erfordert das permanente Zusammenspiel von prozess- und inhaltsbezogenen Kompetenzen. Insofern sind die folgenden – in der Sekundarstufe II verbindlichen – Inhalte immer im Kontext allgemeiner mathematischer Kompetenzen und deren Anforderungsbereichen zu sehen. Unter „Inhalten“ werden dabei insbesondere auch adäquate Grundvorstellungen verstanden, die ein Verständnis dieser Inhalte erst konstituieren. Die inhaltsbezogenen Kompetenzen werden jeweils übergreifenden Leitideen zugeordnet, die nicht auf bestimmte klassische mathematische Sachgebiete (Analysis, Lineare Algebra/Analytische Geometrie, Stochastik) begrenzt sind. Die Leitideen tragen damit zur Vernetzung dieser traditionellen klassischen Sachgebiete bei.\n\nBei allen Leitideen wird zuerst ein inhaltlicher Kernbereich beschrieben, der das grundlegende Anforderungsniveau charakterisiert. Danach werden die zusätzlichen Inhalte für das erhöhte Anforderungsniveau aufgeführt.\n\nInnerhalb der Leitideen können die Länder den Schwerpunkt alternativ auf die Beschreibung mathematischer Prozesse durch Matrizen (Alternative A1) oder die vektorielle Analytische Geometrie (Alternative A2) setzen.\n\nEbenso können die Länder den Schwerpunkt auf die Schätzung von Parametern (Alternative B1) oder auf die Testung von Hypothesen (Alternative B2) setzen.""""","s5r",,
"L 1","Algorithmus und Zahl","""""Diese Leitidee verallgemeinert zum einen den Zahlbegriff der Sekundarstufe I zu Tupeln und Matrizen einschließlich zugehöriger Operationen. Die Leitidee erweitert zum anderen die Vorstellungen von den reellen Zahlen durch Approximationen mittels infinitesimaler Methoden. Weiter umfasst die Leitidee die Kenntnis, das Verstehen und das Anwenden mathematischer Verfahren, die prinzipiell automatisierbar und damit einer Rechnernutzung zugänglich sind.\n\nDie darauf bezogenen mathematischen Sachgebiete der Sekundarstufe II sind die Anfänge der Analysis und die Lineare Algebra.""""","v2f",,
"L 1.1","Grundlegendes und erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können","e7x",,
"L 1.1.1","geeignete Verfahren zur Lösung von Gleichungen und Gleichungssystemen auswählen","","b3c",,
"L 1.1.2","ein algorithmisches Lösungsverfahren für lineare Gleichungssysteme erläutern und es anwenden","","x7e",,
"L 1.1.3","Grenzwerte auf der Grundlage eines propädeutischen Grenzwertbegriffs insbesondere bei der Bestimmung von Ableitung und Integral nutzen","","q9d",,
"L 1.1.4","einfache Sachverhalte mit Tupeln oder Matrizen beschreiben","","e9s",,
"L 1.1.5","mathematische Prozesse durch Matrizen unter Nutzung von Matrizenmultiplikation und inversen Matrizen beschreiben (A1)","","e5p",,
"L 1.2","Erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können darüber hinaus","x3d",,
"L 1.2.1","Potenzen von Matrizen bei mehrstufigen Prozessen nutzen (A1)","","d6g",,
"L 1.2.2","Grenzmatrizen sowie Fixvektoren interpretieren (A1)","","t7q",,
"L 2","Messen","""""Diese Leitidee erweitert das Bestimmen und Deuten von Größen aus der Sekundarstufe I um infinitesimale, numerische und analytisch-geometrische Methoden. Dies betrifft sowohl funktionale Größen wie Änderungsraten und (re-)konstruierte Bestände als auch Größen im Koordinatensystem wie Winkelgrößen, Längen, Flächeninhalte und Volumina. Weiter umfasst die Leitidee stochastische Kenngrößen, die als Ergebnisse von Messprozessen im weiteren Sinne aufgefasst werden.\n\nDie darauf bezogenen mathematischen Sachgebiete der Sekundarstufe II sind die Analysis, die Analytische Geometrie und die Stochastik.""""","y2d",,
"L 2.1","Grundlegendes und erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können","f5d",,
"L 2.1.1","Streckenlängen und Winkelgrößen im Raum3 auch mithilfe des Skalarprodukts bestimmen","","c6a",,
"L 2.1.2","Sekanten- und Tangentensteigungen an Funktionsgraphen bestimmen","","r2e",,
"L 2.1.3","Änderungsraten berechnen und deuten","","z5g",,
"L 2.1.4","Inhalte von Flächen, die durch Funktionsgraphen begrenzt sind, bestimmen","","q3h",,
"L 2.1.5","Bestände aus Änderungsraten und Anfangsbestand berechnen","","f4r",,
"L 2.1.6","Lage- und Streumaße einer Stichprobe bestimmen und deuten","","e9d",,
"L 2.1.7","Erwartungswert und Standardabweichung diskreter Zufallsgrößen bestimmen und deuten","","a5g",,
"L 2.2","Erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können darüber hinaus","h4u",,
"L 2.2.1","Abstände zwischen Punkten, Geraden und Ebenen bestimmen (A2)","","g3c",,
"L 2.2.2","das Volumen von Körpern bestimmen, die durch Rotation um die Abszissenachse entstehen","","h2b",,
"L 3","Raum und Form","""""Diese Leitidee ist auf die Weiterentwicklung des räumlichen Vorstellungsvermögens aus der Sekundarstufe I gerichtet. Sie beinhaltet den Umgang mit Objekten im Raum. Es geht hier sowohl um Eigenschaften und Beziehungen dieser Objekte als auch um Darstellungen mit geeigneten Hilfsmitteln einschließlich Geometriesoftware.\n\nDas zugehörige mathematische Sachgebiet der Sekundarstufe II ist die Analytische Geometrie.""""","h2u",,
"L 3.1","Grundlegendes und erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können","s3t",,
"L 3.1.1","geometrische Sachverhalte in Ebene und Raum koordinatisieren","","a9h",,
"L 3.1.2","elementare Operationen mit geometrischen Vektoren ausführen und Vektoren auf Kollinearität untersuchen","","e9r",,
"L 3.1.3","das Skalarprodukt geometrisch deuten","","g4p",,
"L 3.1.4","Vektoren beim Arbeiten mit geradlinig bzw. ebenflächig begrenzten geometrischen Objekten anwenden (A2)","","g2p",,
"L 3.1.5","Geraden und Ebenen analytisch beschreiben und die Lagebeziehungen von Geraden untersuchen (A2)","","x4u",,
"L 3.2","Erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können darüber hinaus","e5c",,
"L 3.2.1","die Lagebeziehungen von Geraden und Ebenen untersuchen (A2)","","s4q",,
"L 4","Funktionaler Zusammenhang","","g2x",,
"L 4.1","Grundlegendes und erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können","a7a",,
"L 4.1.1","die sich aus den Funktionen der Sekundarstufe I ergebenden Funktionsklassen zur Beschreibung und Untersuchung quantifizierbarer Zusammenhänge nutzen","","p9a",,
"L 4.1.2","in einfachen Fällen Verknüpfungen und Verkettungen von Funktionen zur Beschreibung quantifizierbarer Zusammenhänge nutzen","","t5y",,
"L 4.1.3","die Ableitung insbesondere als lokale Änderungsrate deuten","","s6a",,
"L 4.1.4","Änderungsraten funktional beschreiben (Ableitungsfunktion) und interpretieren","","z3c",,
"L 4.1.5","die Funktionen der Sekundarstufe I ableiten, auch unter Nutzung der Faktor- und Summenregel","","s3p",,
"L 4.1.6","die Produktregel zum Ableiten von Funktionen verwenden","","q4u",,
"L 4.1.7","die Ableitung zur Bestimmung von Monotonie und Extrema von Funktionen nutzen","","t9y",,
"L 4.1.8","den Ableitungsgraphen aus dem Funktionsgraphen und umgekehrt entwickeln","","s5a",,
"L 4.1.9","das bestimmte Integral deuten, insbesondere als (re-)konstruierten Bestand","","f3h",,
"L 4.1.10","geometrisch-anschaulich den Hauptsatz als Beziehung zwischen Ableitungs- und Integralbegriff begründen","","h4z",,
"L 4.1.11","Funktionen mittels Stammfunktionen integrieren","","b4c",,
"L 4.1.12","Zufallsgrößen und Wahrscheinlichkeitsverteilungen zur Beschreibung stochastischer Situationen nutzen","","r5p",,
"L 4.2","Erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können darüber hinaus","b2r",,
"L 4.2.1","die Ableitung mithilfe der Approximation durch lineare Funktionen deuten","","e4g",,
"L 4.2.2","die Kettenregel zum Ableiten von Funktionen verwenden","","a6r",,
"L 4.2.3","die ln-Funktion als Stammfunktion von x |-> 1/x und als Umkehrfunktion der e-Funktion nutzen","","r3s",,
"L 5","Daten und Zufall","""""Diese Leitidee vernetzt Begriffe und Methoden zur Aufbereitung und Interpretation von statistischen Daten mit solchen zur Beschreibung und Modellierung von zufallsabhängigen Situationen. In Ausweitung und Vertiefung stochastischer Vorstellungen der Sekundarstufe I umfasst diese Leitidee insbesondere den Umgang mit mehrstufigen Zufallsexperimenten, die Untersuchung und Nutzung von Verteilungen sowie einen Einblick in Methoden der beurteilenden Statistik, auch mithilfe von Simulationen und unter Verwendung einschlägiger Software.\n\nDas darauf bezogene mathematische Sachgebiet der Sekundarstufe II ist die Stochastik.""""","c3z",,
"L 5.1","Grundlegendes und erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können","a9x",,
"L 5.1.1","exemplarisch statistische Erhebungen planen und beurteilen","","d3a",,
"L 5.1.2","Sachverhalte mithilfe von Baumdiagrammen oder Vierfeldertafeln untersuchen und damit Problemstellungen im Kontext bedingter Wahrscheinlichkeiten lösen","","z9a",,
"L 5.1.3","Teilvorgänge mehrstufiger Zufallsexperimente auf stochastische Unabhängigkeit anhand einfacher Beispiele untersuchen","","d6x",,
"L 5.1.4","die Binomialverteilung und ihre Kenngrößen nutzen","","f4f",,
"L 5.1.5","Simulationen zur Untersuchung stochastischer Situationen verwenden","","g7x",,
"L 5.1.6","in einfachen Fällen aufgrund von Stichproben auf die Gesamtheit schließen","","x6t",,
"L 5.2","Erhöhtes Anforderungsniveau","Die Schülerinnen und Schüler können darüber hinaus","g5x",,
"L 5.2.1","für binomialverteilte Zufallsgrößen Aussagen über die unbekannte Wahrscheinlichkeit sowie die Unsicherheit und Genauigkeit dieser Aussagen begründen (B1)","","f9p",,
"L 5.2.2","Hypothesentests interpretieren und die Unsicherheit und Genauigkeit der Ergebnisse begründen (B2)","","s4c",,
"L 5.2.3","exemplarisch diskrete und stetige Zufallsgrößen unterscheiden und die „Glockenform“ als Grundvorstellung von normalverteilten Zufallsgrößen nutzen","","r5q",,
"L 5.2.4","stochastische Situationen untersuchen, die zu annähernd normalverteilten Zufallsgrößen führen","","t6v",,
